timestamp,interface-id,srcaddr,dstaddr,type,packets,bytes
2025-01-01T00:00:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,98,74284
2025-01-01T00:00:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,103,86211
2025-01-01T00:01:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,77,57519
2025-01-01T00:01:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,97,76339
2025-01-01T00:02:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,95,72675
2025-01-01T00:02:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,104,86424
2025-01-01T00:03:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,96,81120
2025-01-01T00:03:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,100,76500
2025-01-01T00:04:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,99,75339
2025-01-01T00:04:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,104,82992
2025-01-01T00:05:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,94,72568
2025-01-01T00:05:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,108,85644
2025-01-01T00:06:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,92,72220
2025-01-01T00:06:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,101,82214
2025-01-01T00:07:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,100,81700
2025-01-01T00:07:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,117,91611
2025-01-01T00:08:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,91,69797
2025-01-01T00:08:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,102,86190
2025-01-01T00:09:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,95,72770
2025-01-01T00:09:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,88,72688
2025-01-01T00:10:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,103,84563
2025-01-01T00:10:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,90,72810
2025-01-01T00:11:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,97,78376
2025-01-01T00:11:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,105,84840
2025-01-01T00:12:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,103,82606
2025-01-01T00:12:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,99,81675
2025-01-01T00:13:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,82,64534
2025-01-01T00:13:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,92,71208
2025-01-01T00:14:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,94,80746
2025-01-01T00:14:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,88,73744
2025-01-01T00:15:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,80,62880
2025-01-01T00:15:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,98,80654
2025-01-01T00:16:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,103,85593
2025-01-01T00:16:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,93,72633
2025-01-01T00:17:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,105,83160
2025-01-01T00:17:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,84,63336
2025-01-01T00:18:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,88,72072
2025-01-01T00:18:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,98,81046
2025-01-01T00:19:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,93,74958
2025-01-01T00:19:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,103,81061
2025-01-01T00:20:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,101,78073
2025-01-01T00:20:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,93,72912
2025-01-01T00:21:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,85,69615
2025-01-01T00:21:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,92,73600
2025-01-01T00:22:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,102,83334
2025-01-01T00:22:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,103,81988
2025-01-01T00:23:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,93,74028
2025-01-01T00:23:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,81,60102
2025-01-01T00:24:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,84,63840
2025-01-01T00:24:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,101,77063
2025-01-01T00:25:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,93,79143
2025-01-01T00:25:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,94,77926
2025-01-01T00:26:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,88,69608
2025-01-01T00:26:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,88,69168
2025-01-01T00:27:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,106,77380
2025-01-01T00:27:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,102,82518
2025-01-01T00:28:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,92,68264
2025-01-01T00:28:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,98,76244
2025-01-01T00:29:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,100,80000
2025-01-01T00:29:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,113,89270
2025-01-01T00:30:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,87,70209
2025-01-01T00:30:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,100,85400
2025-01-01T00:31:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,106,86284
2025-01-01T00:31:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,112,84224
2025-01-01T00:32:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,91,69342
2025-01-01T00:32:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,94,69936
2025-01-01T00:33:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,104,82264
2025-01-01T00:33:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,83,62997
2025-01-01T00:34:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,101,84133
2025-01-01T00:34:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,117,107172
2025-01-01T00:35:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,102,77520
2025-01-01T00:35:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,77,62370
2025-01-01T00:36:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,90,70470
2025-01-01T00:36:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,92,73048
2025-01-01T00:37:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,108,87048
2025-01-01T00:37:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,96,72768
2025-01-01T00:38:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,82,63960
2025-01-01T00:38:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,98,85260
2025-01-01T00:39:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,99,83061
2025-01-01T00:39:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,93,69936
2025-01-01T00:40:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,89,68530
2025-01-01T00:40:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,119,91273
2025-01-01T00:41:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,107,81641
2025-01-01T00:41:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,107,87205
2025-01-01T00:42:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,97,77406
2025-01-01T00:42:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,92,75164
2025-01-01T00:43:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,94,70500
2025-01-01T00:43:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,86,69316
2025-01-01T00:44:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,114,91884
2025-01-01T00:44:00,eni-0123456789abcdef1,198.51.100.1,10.0.0.2,ingress,97,78667
2025-01-01T00:45:00,eni-0123456789abcdef0,198.51.100.1,10.0.0.1,ingress,111,89688
